genus,root_diameter_mean,SRL_mean,RTD_mean,root_N_mean,root_P_mean,mycorrhizal_colonization_mean,EcoBank_amf_richness_mean,GlobalAMFungi_amf_richness_mean,EcoBank_prop_cult_mean,EcoBank_prop_ancestral_mean,EcoBank_prop_edaphophilic_mean,EcoBank_prop_rhizophilic_mean,n_species,n_fred_records,n_species_in_ecobank,n_species_in_globalamfungi
anthyllis,1.0792454133333333,81.194118579,0.40809252716666666,,,7.4,20.625,,49.543729508750005,0.003053994625,0.06472504375,98.70623769625,4,23.0,1,0
antiaris,0.7529777776666666,1.3880980567173913,0.3897695641666667,13.574999999999998,0.868,,,,,,,,1,47.0,0,0
anticharis,,,,,,,,,,,,,1,1.0,0,0
antidesma,0.40253,19.99,0.29,19.7,,54.0,,,,,,,2,3.0,0,0
antirrhinum,,,,,,,,,,,,,1,1.0,0,0
aotus,,,,,,,,,,,,,1,1.0,0,0
apera,,,,,,,,,,,,,1,1.0,0,0
aphanamixis,0.4020165104,61.191411771800006,0.43496335620000004,17.96,,,,,,,,,1,5.0,0,0
aphanostephus,,,,,,,,,,,,,1,2.0,0,0
apium,,,,,,,,,,,,,1,2.0,0,0
apocynum,1.196115,,0.32674,16.8125,,,,,,,,,3,17.0,0,0
apodytes,0.55,12.9,0.34,,,,,,,,,,1,3.0,0,0
aporosa,0.48807343433333333,20.049577419,0.3834477513030303,16.603035681818184,0.61375,66.0,,,,,,,3,13.0,0,0
aquilegia,0.1766,458.04795620000004,,,,,10.0,,58.35866261,0.0,0.0,100.0,3,7.0,1,0
arabidopsis,1.7094579699999999,639.6349359,0.042218566,,,,,,,,,,3,6.0,0,0
arabis,1.89657121,388.625,0.18870425,,,,15.0,,20.758080870625,0.0,0.0,99.88115402,3,4.0,1,0
arachis,,,,18.35,0.435,,,,,,,,2,4.0,0,0
arachniodes,,2.0202712325,,11.0612766775,0.47153208575,,,,,,,,1,4.0,0,0
araucaria,0.4558314436666667,33.51853232083333,0.2998404095,1.6130159883333333,,,16.725,,5.2003430734250005,1.833582581275,0.115449408475,97.37361146475,4,12.0,1,0
arbutus,0.499883333,12.11686106,0.558173551,,,,,,,,,,1,9.0,0,0
archidendron,0.265695,64.61,0.36,23.685000000000002,,40.5,,,,,,,2,2.0,0,0
arctium,2.99272908,430.65178027499996,0.03047307925,,,,,,,,,,4,10.0,0,0
arctostaphylos,,,,,,,,,,,,,6,20.0,0,0
arctotheca,0.23709887616666667,244.38817394166665,,,,,,,,,,,1,12.0,0,0
arctous,0.41570833333333335,32.19263788083333,,7.925000000000001,1.225,,,,,,,,1,22.0,0,0
ardisia,0.5371858643333334,49.2479483018,0.27093110006666665,14.867789167419048,,,,,,,,,3,47.0,0,0
arenaria,1.46787109,182.3079601829444,0.06943649733333333,11.3078723075,,,9.0,,0.0395361095,0.0,0.0395361095,99.86821297,4,11.0,1,0
argemone,,,,,,,,,,,,,2,3.0,0,0
argentina,2.51204036,634.25,0.065724825,,,,,,,,,,1,3.0,0,0
argyrolobium,,,,,,,,,,,,,1,1.0,0,0
aria,,,,,,,,,,,,,1,2.0,0,0
aristea,,,,,,,,,,,,,1,8.0,0,0
aristida,0.30119999999999997,53.75690126000001,0.329653,6.528089643,,26.54,16.666666666666668,27.25,6.057083599583333,0.6294601278916665,2.0286769232333333,95.32315991808333,11,35.0,3,2
aristolochia,,,,,,43.76,,,,,,,2,3.0,0,0
aristotelia,0.3604,74.97195770875,0.1713039085,12.705,0.92,,,,,,,,1,8.0,0,0
arjona,,,,,,,,,,,,,1,1.0,0,0
armeria,0.508425,10.50547346,0.610452695,,,,,,,,,,3,3.0,0,0
armoracia,,,,,,,,,,,,,1,2.0,0,0
arnebia,,,,,,,,,,,,,4,3.0,1,0
arnica,0.37937499999999996,46.381298405,0.3124151585,,,,,,,,,,3,3.0,0,0
aronia,,,,,,,,,,,,,1,1.0,0,0
arrhenatherum,0.968180295,162.58722826875,0.12401487174999999,12.739999999999998,1.97,,,222.72649572649573,,,,,1,19.0,0,1
artemisia,0.6281981226084655,54.44507095107644,0.2737298017777778,11.748696442571429,1.84,21.675,15.545833333333334,49.63636363636363,34.98316604769583,0.2362515968,0.025633953216666665,99.00553048825,63,461.0,10,3
arthraerua,,,,,,,,,,,,,1,3.0,0,0
arthraxon,0.598,13.06,,4.43,,,,,,,,,1,2.0,0,0
arthrocnemum,,,,,,,,,,,,,1,1.0,0,0
arthrophytum,,,,,,,,,,,,,3,3.0,0,0
artocarpus,0.5377387499999999,24.164498971583335,0.34400933275,11.89595238095238,1.1458333333333333,78.0,,30.555555555555557,,,,,4,14.0,0,1
arum,,,,,,,16.545454545454547,24.0,38.809656592181824,2.624118835,1.3575489512727275,95.43977359727273,1,0.0,1,1
arundo,,,,,,,,,,,,,1,1.0,0,0
asarum,,,,,,,,,,,,,1,9.0,0,0
