sample_id,plant_species,latitude,longitude,MAT,MAP,pH,amf_seq_richness,amf_genus_richness,total_reads
417,Solidago canadensis,50.21,14.6792,9.4,558,4.93,1024,8,13559180
418,Daucus carota,50.0267,14.5414,8.9,535,5.18,104,2,139132
419,Arrhenatherum elatius,50.115,14.2897,8.5,509,6.33,9,3,97
420,Tanacetum vulgare,50.2481,14.8922,9.2,588,7.43,247,1,1799889
421,Daucus carota,50.0861,14.6364,9.1,563,5.37,823,3,6905896
422,Daucus carota,49.9989,14.3386,9.0,460,7.55,102,2,135551
423,Daucus carota,50.1392,14.3699,8.9,464,7.05,17,1,680
424,Arrhenatherum elatius,50.2481,14.8922,9.2,588,7.43,7,3,19
426,Daucus carota,50.085,14.2944,8.4,491,7.08,33,6,1456
429,Arrhenatherum elatius,50.0861,14.6364,9.1,563,5.37,2284,4,57730530
431,Tanacetum vulgare,50.0861,14.6364,9.1,563,5.37,1582,4,30779084
432,Solidago canadensis,50.0267,14.5414,8.9,535,5.18,1700,4,11710291
433,Daucus carota,49.7357,16.96,9.1,585,7.51,12,4,75
438,Daucus carota,50.2481,14.8922,9.2,588,7.43,3,1,33
439,Conyza canadensis,50.1393,14.3697,8.9,464,7.09,470,6,3119832
441,Arrhenatherum elatius,50.2486,14.8917,9.2,588,7.38,853,3,3144707
443,Achillea millefolium,50.0572,14.3561,8.7,485,6.68,27,3,4807
445,Artemisia vulgaris,49.5289,17.0861,9.1,617,7.59,5,2,12
446,Symphiotrichum novi-belgii,50.0572,14.3561,8.7,485,6.68,61,2,74401
447,Daucus carota,49.5289,17.0861,9.1,617,7.59,34,2,2366
450,Tanacetum vulgare,50.0269,14.5419,9.0,512,6.48,229,5,491698
453,Arrhenatherum elatius,50.1393,14.3697,8.9,464,7.09,368,1,271952
454,Symphiotrichum novi-belgii,50.115,14.2897,8.5,509,6.33,17,1,1020
455,Achillea millefolium,50.1147,14.2922,8.5,506,6.25,407,4,1947192
456,Achillea millefolium,50.0903,14.6369,9.1,563,5.99,1216,3,10780107
459,Daucus carota,49.5288,17.0863,9.1,617,7.66,8,2,982
460,Tanacetum vulgare,50.5714,14.6442,8.6,577,5.47,1166,4,13354079
462,Arrhenatherum elatius,50.0861,14.6364,9.1,563,5.37,4,2,20
464,Tanacetum vulgare,50.5714,14.6442,8.6,577,5.47,388,4,1186231
465,Arrhenatherum elatius,50.1393,14.3697,8.9,464,7.09,6,2,52
466,Daucus carota,50.0583,14.3481,8.7,467,6.76,6,3,57
467,Arrhenatherum elatius,50.0572,14.3542,8.7,485,7.25,36,3,5947
469,Conyza canadensis,49.7354,16.96,9.1,585,7.41,5,3,45
470,Echinops sphaerocephalus,50.0853,14.2792,8.4,507,7.1,67,5,5394
474,Erigeron annuus,50.2486,14.8917,9.2,588,7.38,298,6,267335
475,Tanacetum vulgare,50.0267,14.5414,8.9,535,5.18,460,4,963739
477,Arrhenatherum elatius,50.085,14.2944,8.4,491,7.08,2,1,2
479,Daucus carota,49.7354,16.96,9.1,585,7.41,7,3,60
480,Achillea millefolium,50.0901,14.6371,9.1,563,4.62,1089,2,54056777
483,Tanacetum vulgare,50.21,14.6792,9.4,558,4.93,76,2,853176
485,Arrhenatherum elatius,50.0867,14.6342,9.1,563,4.77,5,1,31
486,Vitis vinifera,46.9161,4.69861,11.6,745,8.06,23,3,1089
488,Artemisia vulgaris,49.7357,16.96,9.1,585,7.51,207,3,91292
489,Knautia arvensis,50.074,12.7813,6.2,666,5.13,1,1,5
490,Vitis vinifera,47.0711,4.86222,11.2,761,8.02,99,2,129327
491,Daucus carota,50.0583,14.3481,8.7,467,6.76,4,3,21
492,Tanacetum vulgare,50.0867,14.6308,9.1,556,4.7,1447,4,11503900
493,Daucus carota,50.0267,14.5414,8.9,535,5.18,925,1,9144407
496,Arrhenatherum elatius,50.1393,14.3697,8.9,464,7.09,965,3,2798893
497,Daucus carota,50.0572,14.3561,8.7,485,6.68,2,2,8
500,Symphiotrichum novi-belgii,50.0572,14.3561,8.7,485,6.68,268,5,127139
501,Arrhenatherum elatius,50.0901,14.6371,9.1,563,4.62,3,2,8
502,Echinops sphaerocephalus,49.9989,14.3386,9.0,460,7.55,1,1,2
504,Daucus carota,50.5714,14.6442,8.6,577,5.47,2,2,8
508,Daucus carota,50.2486,14.8917,9.2,588,7.38,555,4,555137
510,Achillea millefolium,50.0572,14.3547,8.7,485,6.29,8,3,83
511,Arrhenatherum elatius,50.0853,14.2792,8.4,507,7.1,4,2,12
514,Arrhenatherum elatius,50.2481,14.8922,9.2,588,7.43,1,1,1
515,Echinops sphaerocephalus,50.0572,14.3547,8.7,485,6.29,208,7,91430
516,Arrhenatherum elatius,50.0572,14.3561,8.7,485,6.68,9,1,342
517,Daucus carota,50.115,14.2897,8.5,509,6.33,6,2,20
518,Achillea millefolium,50.115,14.2897,8.5,509,6.33,47,2,6132
521,Arrhenatherum elatius,50.21,14.6792,9.4,558,4.93,8,3,132
525,Daucus carota,50.0901,14.6371,9.1,563,4.62,286,5,344694
527,Tanacetum vulgare,50.5714,14.6442,8.6,577,5.47,2839,4,101479895
528,Arrhenatherum elatius,49.7357,16.96,9.1,585,7.51,64,3,53553
529,Daucus carota,50.0867,14.6342,9.1,563,4.77,16,1,37568
530,Erigeron annuus,50.0867,14.6342,9.1,563,4.77,658,3,14534396
531,Artemisia vulgaris,49.7357,16.96,9.1,585,7.51,175,10,53127
532,Conyza canadensis,49.5289,17.0861,9.1,617,7.59,63,3,50266
533,Tanacetum vulgare,50.0861,14.6364,9.1,563,5.37,1243,4,9126874
535,Arrhenatherum elatius,49.5289,17.0861,9.1,617,7.59,3,3,8
536,Achillea millefolium,50.0853,14.2792,8.4,507,7.1,14,2,723
537,Vitis vinifera,47.1717,4.93778,10.5,766,7.84,2,2,8
538,Arrhenatherum elatius,50.0583,14.3481,8.7,467,6.76,2,2,7
